,Name,Year,Owner_Type,Seats,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine,Power,Price
0,Hyundai Creta 1.6 CRDi SX Option,2015,First,5,41000.0,Diesel,Manual,19.67,1582.0,126.2,12.5
1,Honda Jazz V,2011,First,5,46000.0,Petrol,Manual,18.2,1199.0,88.7,4.5
2,Suzuki Ertiga VDI,2012,First,7,87000.0,Diesel,Manual,20.77,1248.0,88.76,6.0
3,Audi A4 New 2.0 TDI Multitronic,2013,Second,5,40670.0,Diesel,Automatic,15.2,1968.0,140.8,17.74
4,Nissan Micra Diesel XV,2013,First,5,86999.0,Diesel,Manual,23.08,1461.0,63.1,3.5
5,Toyota Innova Crysta 2.8 GX AT 8S,2016,First,8,36000.0,Diesel,Automatic,11.36,2755.0,171.5,17.5
6,Volkswagen Vento Diesel Comfortline,2013,First,5,64430.0,Diesel,Manual,20.54,1598.0,103.6,5.2
7,Tata Indica Vista Quadrajet LS,2012,Second,5,65932.0,Diesel,Manual,22.3,1248.0,74.0,1.95
8,Suzuki Ciaz Zeta,2018,First,5,25692.0,Petrol,Manual,21.56,1462.0,103.25,9.95
9,Honda City 1.5 V AT Sunroof,2012,First,5,60000.0,Petrol,Automatic,16.8,1497.0,116.3,4.49
10,Suzuki Swift VDI BSIV,2015,First,5,64424.0,Diesel,Manual,25.2,1248.0,74.0,5.6
11,Land Rover Range Rover 2.2L Pure,2014,First,5,72000.0,Diesel,Automatic,12.7,2179.0,187.7,27.0
12,Land Rover Freelander 2 TD4 SE,2012,Second,5,85000.0,Diesel,Automatic,0.0,2179.0,115.0,17.5
13,Mitsubishi Pajero Sport 4X4,2014,First,7,110000.0,Diesel,Manual,13.5,2477.0,175.56,15.0
14,Honda Amaze S i-Dtech,2016,First,5,58950.0,Diesel,Manual,25.8,1498.0,98.6,5.4
15,Suzuki Swift DDiS VDI,2017,First,5,25000.0,Diesel,Manual,28.4,1248.0,74.0,5.99
16,Renault Duster 85PS Diesel RxL Plus,2014,First,5,77469.0,Diesel,Manual,20.45,1461.0,83.8,6.34
17,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,First,5,78500.0,Diesel,Automatic,14.84,2143.0,167.62,28.0
18,BMW 3 Series 320d,2014,First,5,32982.0,Diesel,Automatic,22.69,1995.0,190.0,18.55
19,Suzuki S Cross DDiS 200 Alpha,2015,Second,5,55392.0,Diesel,Manual,23.65,1248.0,88.5,8.25
20,Audi A6 2011-2015 35 TFSI Technology,2015,First,5,55985.0,Petrol,Automatic,13.53,1984.0,177.01,23.5
21,Hyundai i20 1.2 Magna,2010,First,5,45807.0,Petrol,Manual,18.5,1197.0,80.0,1.87
22,Volkswagen Vento Petrol Highline AT,2010,First,5,33000.0,Petrol,Automatic,14.4,1598.0,103.6,2.85
23,Honda City Corporate Edition,2012,First,5,51920.0,Petrol,Manual,16.8,1497.0,116.3,4.25
24,Nissan Micra Diesel XV,2012,First,5,54000.0,Diesel,Manual,23.08,1461.0,63.1,4.25
25,Suzuki Alto K10 2010-2014 VXI,2013,Second,5,54000.0,Petrol,Manual,20.92,998.0,67.1,2.75
26,Honda WRV i-VTEC VX,2018,First,5,37430.0,Petrol,Manual,17.5,1199.0,88.7,9.9
27,Toyota Innova 2.5 V Diesel 7-seater,2007,Fourth & Above,7,262000.0,Diesel,Manual,12.8,2494.0,102.0,4.0
28,Renault Duster 110PS Diesel RxZ Pack,2013,First,5,62000.0,Diesel,Manual,19.01,1461.0,108.45,7.75
29,Toyota Corolla Altis G,2012,First,5,87615.0,Petrol,Manual,14.53,1798.0,138.1,6.75
30,Mahindra Ssangyong Rexton RX7,2013,Second,7,72000.0,Diesel,Automatic,11.18,2696.0,184.0,12.5
31,Audi A6 2.7 TDI,2010,First,5,35000.0,Diesel,Automatic,12.4,2698.0,179.5,11.5
32,Volkswagen Vento 1.6 Highline,2014,Second,5,55431.0,Petrol,Manual,16.09,1598.0,103.5,6.98
